stage,test,pass,observed,error
p1,no_cassette_exact_p0_lockstep,PASS,"3 seeds x 240 steps exact: 101:15a04242d365, 202:34a2b81f60fc, 303:ef0cc1177659",
p1,costless_tissue_is_rejected,PASS,unmetered neural tissue fails closed,
p1,cassette_is_material_and_required,PASS,"gene symbols=16, explicit founder matter=0.03824",
p1,gene_driven_tissue_development,PASS,"mature in 18 steps; material=[0.0270006, 0.01, 0.01, 4e-06, 1e-06, 0.0]",
p1,equal_material_dummy_before_action_divergence,PASS,equal material/stores/cost with effectors disabled; spent=0.0184330222,
p1,physical_gradient_controls_neuron_direction,PASS,"right dx=0.9962, left dx=-0.9962",
p1,dummy_direction_is_sensor_independent,PASS,"direction=[0.330465, 0.943818] unchanged after physical field displacement",
p1,equal_magnitude_action_has_near_equal_paid_cost,PASS,"equal command norm; paid cost neuron=0.00040139944, dummy=0.00040147943",
p1,local_predictor_reduces_replay_error,PASS,"prediction RMS early=0.447203, late=0.143617, updates=403",
p1,no_effector_has_no_neural_motor_flux,PASS,"predictor updates=343, motor force=0",
p1,activity_wear_turnover_is_conservative,PASS,damaged mass=0.02 returned; ledger=-2.540e-06,
p1,host_death_routes_neural_matter_to_corpse,PASS,"neural matter=0.0482056, corpse=4.12819",
p1,division_recycles_state_and_gene_remains_material,PASS,"copy steps=264, tissue recycled=0.0482056, daughters retain gene not state",
p1,save_restore_exact,PASS,checkpoint and 120-step continuation exact,
p1,logger_is_noninterfering,PASS,logger-neutral 120-step continuation,
p1,moving_patch_information_value_vs_equal_dummy,PASS,margin/uptake gains: 101:+0.1456/+1.404,
p1,finite_and_material_ledger_stress,PASS,"360 steps finite; world max=1.129e-05, port max=3.553e-15",
p2,build_and_frozen_p1,PASS,"build=SOMA-CELL 0.6-P2.0, schema=0.6-P2.2, P1 sha=9e3ce9c59cb81157baea2d57049339c322e450930bc2ed0292fc1f2ffdfba86c",
p2,no_cassette_exact_p1_lockstep,PASS,"3 seeds x 240 steps exact: 101:e185e157d675, 202:0bb764fcfde4, 303:4d29bfd57b5e",
p2,unmetered_and_assisted_tissue_rejected,PASS,unmetered tissue and runtime assistance fail closed,
p2,cassette_is_material_and_required,PASS,"eight indexed genes, explicit founder matter=0.24192",
p2,gene_driven_eight_cell_development,PASS,all 8 material compartments mature in 19 steps,
p2,full_and_fixed_share_initial_material_targets,PASS,equal material/stores through development; 19 steps,
p2,physical_gradient_controls_tissue_direction,PASS,"right dx=0.0091, left dx=-0.0626",
p2,recurrence_gate_and_finite_messages,PASS,full recurrent max=0.06080; ablation=0; messages=20,
p2,local_predictor_reduces_error,PASS,prediction RMS 0.015574 -> 0.006452,
p2,developmental_warmup_blocks_plasticity,PASS,active age 10.06; no long-term update,
p2,three_factor_update_has_opposite_signs,PASS,"base=0.090000, positive=0.090194, negative=0.089806",
p2,episode_outcome_changes_ligand_sign,PASS,"positive=+0.026050, deterioration=-0.085000",
p2,rewiring_preserves_edge_count_and_charges_wear,PASS,edges=20 preserved; rewire count=1,
p2,force_prune_returns_material_conservatively,PASS,returned cell material=0.01136094,
p2,damage_turnover_is_conservative,PASS,damaged mass 0.0052 returned,
p2,host_death_routes_eight_cell_matter_to_corpse,PASS,"eight-cell matter=0.09088756, corpse matter=4.363467",
p2,division_recycles_learned_state_and_retains_genes,PASS,"copy steps=319, learned arrays recycled; genes retained",
p2,save_restore_exact,PASS,checkpoint and 120-step continuation exact,
p2,logger_is_noninterfering,PASS,logger-neutral 120-step continuation,
p2,common_disturbance_same_mode_is_exact,PASS,same-mode twin exact for 120 taped steps,
p2,cue_reversal_full_vs_equal_fixed_twin,PASS,"post-switch margin AUC gain=+6.367373, reward difference=+0.694145",
p2,finite_and_material_ledger_stress,PASS,"420 steps finite; world max=1.499e-05, port max=7.105e-15",
formal,build_and_frozen_p2,PASS,"build=SOMA-CELL 0.6.0, schema=0.6-F2.0, frozen P2 sha=03cd333838f2bee0dde634e8d55ca2b2c7ed285c9104a52a26bcee4a07ce1693",
formal,no_formal_cassette_exact_p2_lockstep,PASS,"101:exact, 202:exact, 303:exact",
formal,unmetered_formal_controller_rejected,PASS,costless formal control fails closed,
formal,material_gene_and_controller_development,PASS,"extra founder matter=0.03124, mature in 19 steps, gene fp=68681284460",
formal,controller_activity_cost_is_paid_and_conservative,PASS,"ATP=4.3882667e-05, wear=8.976e-05, material delta=3.553e-15",
formal,counterbalanced_audit_and_hard_event_retry,PASS,"effect=0.003, quality=0.62601, retries=1",
formal,natural_audit_completes_and_costs,PASS,"audits=3, audit ATP=0.00024308289, calibration=3",
formal,calibration_improves_heldout_mae,PASS,"heldout raw MAE=0.0025180645, calibrated MAE=2.6461136e-05",
formal,source_separated_change_sentinel_blocks_routine_state_noise,PASS,"routine state max=0.8294, actionable stable=0.0000, mechanism change=0.9602",
formal,sparse_ligand_outcome_reversal_is_environment_evidence,PASS,semantic channel 0.0000->0.7680; events=5,
formal,reliable_audit_surprise_becomes_targeted_change_evidence,PASS,"low=0, high=0.8846, targeted probability=0.8788",
formal,change_gated_feedback_protects_stable_tissue,PASS,"stable gate=0, changed gate=0.159473, maturity loss ratio=4.306e+10, lease loss=0.0734",
formal,small_compiler_and_random_cost_match,PASS,"compiled channel=2, complexity=1, matched random complexity=1",
formal,audit_freezes_fast_learning_state,PASS,14 learned arrays exact during active intervention,
formal,evidence_expires_with_time,PASS,gate 0.947775->0.501318 after 10 half-lives,
formal,controller_matter_routes_to_corpse,PASS,"controller matter=0.016230849, returned=0.1071184, corpse=4.391736",
formal,material_hgt_activates_controller_without_learning_copy,PASS,HGT controller mature in 14 steps; no audit/calibration state copied,
formal,no_hgt_mode_blocks_foreign_phenotype,PASS,foreign gene translated (activity 0.13959) but phenotype stayed blocked,
formal,division_recycles_learning_and_retains_formal_gene,PASS,"copy steps=327, learned arrays recycled; material gene retained",
formal,save_restore_mid_audit_exact,PASS,mid-audit save/restore exact for 120 steps,
formal,common_disturbance_identical_twins_exact,PASS,identical treatment twins remain bit-exact under common tape,
formal,finite_and_material_ledger,PASS,"3 seeds finite, max ledger residual=1.398e-05",
